vm_control,total_sale,avg_sale,n_transac,n_products,n_categories,avg_qty,customer,op_center,pos_location,active_days,transac_per_day,cluster
37642,2887.5,2.5351185250219492,1139,8,2,1.7963125548726953,Burlington Coat Factory,El Paso,Burlington - Yarbrough - 1144 North Yarbrough Drive,260,4.380769230769231,1
37644,3415.4500000000003,4.105108173076923,832,15,3,1.828125,Xerox,El Paso,Xerox Market Center - Breakroom,210,3.961904761904762,1
37645,2069.8,3.496283783783784,592,7,2,1.491554054054054,Xerox,El Paso,Xerox - Founders - Front Breakroom,197,3.00507614213198,1
37838,2561.75,3.3097545219638245,774,15,4,1.107235142118863,Mr Car Wash,El Paso,Osborne - Lobby - 4800 Osborne Drive,217,3.5668202764976957,1
37903,811.75,3.8654761904761905,210,8,2,1.2,84 Lumber,El Paso,Warehouse - 122 McCutcheon,138,1.5217391304347827,1
37927,719.0,3.4238095238095236,210,8,3,1.1571428571428573,Drive Time,El Paso,Drive Time - Lobby,133,1.5789473684210527,1
37928,4300.0,4.321608040201005,995,8,2,1.9085427135678392,Old Dominion Freight Line,El Paso,Breakroom - 300 North Clark Drive,230,4.326086956521739,1
37931,4482.75,4.809817596566524,932,8,4,1.8798283261802575,VA Wellness Center,El Paso,"VA Wellness Center, South Central El Paso - 350 Revere Street",191,4.87958115183246,1
37932,510.25,3.169254658385093,161,8,3,1.093167701863354,Amanecer Community Counseling Center,El Paso,Lobby - 785 Anthony Drive,96,1.6770833333333333,1
37945,956.25,2.9153963414634148,328,8,4,1.2530487804878048,Universal Logistics,El Paso,Breakroom - 8820 Castner Drive,174,1.8850574712643677,1
37952,99.5,2.926470588235294,34,6,3,1.2941176470588236,San Elizario ISD,El Paso,Administration Breakroom - 1050 Chicken Ranch,26,1.3076923076923077,1
37953,319.0,2.4921875,128,6,3,1.09375,San Elizario ISD,El Paso,District Operations Breakroom - 200 Herring Road,92,1.391304347826087,1
37967,234.0,3.9,60,6,2,1.7333333333333334,San Elizario ISD,El Paso,District Operations Breakroom - 200 Herring Road,36,1.6666666666666667,1
37968,315.0,2.889908256880734,109,6,2,1.2844036697247707,San Elizario ISD,El Paso,Lorenzo Loya Elementary Lounge - 13705 Socorro Road,69,1.5797101449275361,1
37969,76.5,2.55,30,6,2,1.1333333333333333,San Elizario ISD,El Paso,Alfonso Borrego Elementary Lounge - 13300 Chicken Ranch Road,18,1.6666666666666667,1
37970,549.0,2.8010204081632653,196,6,2,1.2448979591836735,San Elizario ISD,El Paso,Lorenzo Alarcon Elementary Lounge - 12501 Socorro Road,93,2.10752688172043,1
37972,1898.75,4.145742358078603,458,6,3,1.4213973799126638,Oveana,El Paso,First Floor Breakroom - 2211 East Missouri Avenue,186,2.4623655913978495,1
37973,2817.5,4.735294117647059,595,8,3,1.7210084033613446,MPW Holdings,El Paso,Wallner Expac - Warehouse,217,2.7419354838709675,1
37974,2782.5,4.08590308370044,681,8,3,1.6328928046989721,Kenworth MHC,El Paso,MHC Kenworth El Paso - Breakroom,246,2.768292682926829,1
37989,2159.0,3.862254025044723,559,8,3,1.5277280858676208,Kenworth MHC,El Paso,MHC Kenworth El Paso - Breakroom,192,2.9114583333333335,1
37990,156.0,2.943396226415094,53,7,3,1.0943396226415094,TXDOT West Area Office,El Paso,Breakroom - 4201 Hondo Pass Dr,46,1.1521739130434783,1
38189,3303.75,3.5524193548387095,930,20,9,1.2860215053763442,Red Roof Inn - East,El Paso,Red Roof Inn - 3rd Floor,131,7.099236641221374,2
38198,2636.75,5.060940499040307,521,8,4,1.817658349328215,Red Roof Inn - East,El Paso,Red Roof Inn - 3rd Floor,130,4.007692307692308,1
38199,1583.0,4.289972899728998,369,8,4,1.5365853658536586,Red Roof Inn - East,El Paso,Red Roof Inn - 3rd Floor,133,2.774436090225564,1
740060,212.5,70.83333333333333,3,3,2,7.0,TECHNIMARK,El Paso,TECHNIMARK - 425-B Pan American Drive,2,1.5,1
